007
  -2.336750  48.836381   60.17
Paris
1 200 6.944444444444444E-003
5
1 2457297.00000000 2457297.22853862 2457297.25126823 2457297.27668058 2457297.30259751 2457297.67044802 2457297.69640817 2457297.72187212 2457297.74466046
p, Lune, 10,  27.32166, \leftmoon
    1 2457297.00000000 -11.232  53.46584938  14.03893651  0.25917E+04  0.2468043819998E-02  0.1006566581141E+01  46.669 133.01   0.00  1940.839 318.215280 -17.441729
    1 2457297.00694444 -11.228  53.58908458  14.05281133  0.26074E+04  0.2469021786858E-02  0.1006561920783E+01  46.783 132.89   0.00  1940.071 320.401621 -18.452199
    1 2457297.01388889 -11.224  53.71304366  14.06684595  0.26223E+04  0.2469962871822E-02  0.1006557256298E+01  46.897 132.78   0.00  1939.332 322.623066 -19.415595
    1 2457297.02083333 -11.219  53.83768771  14.08104781  0.26365E+04  0.2470865888405E-02  0.1006552587695E+01  47.011 132.66   0.00  1938.623 324.879716 -20.329731
    1 2457297.02777778 -11.215  53.96297651  14.09542385  0.26497E+04  0.2471729705580E-02  0.1006547914982E+01  47.127 132.55   0.00  1937.945 327.171383 -21.192430
    1 2457297.03472222 -11.211  54.08886906  14.10998078  0.26622E+04  0.2472553272438E-02  0.1006543238168E+01  47.243 132.43   0.00  1937.300 329.497577 -22.001541
    1 2457297.04166667 -11.207  54.21532320  14.12472483  0.26737E+04  0.2473335597045E-02  0.1006538557260E+01  47.359 132.31   0.00  1936.687 331.857481 -22.754949
    1 2457297.04861111 -11.203  54.34229611  14.13966193  0.26844E+04  0.2474075770691E-02  0.1006533872267E+01  47.476 132.20   0.00  1936.108 334.249940 -23.450599
    1 2457297.05555556 -11.199  54.46974405  14.15479757  0.26941E+04  0.2474772952234E-02  0.1006529183198E+01  47.594 132.08   0.00  1935.562 336.673452 -24.086516
    1 2457297.06250000 -11.195  54.59762228  14.17013678  0.27030E+04  0.2475426363468E-02  0.1006524490060E+01  47.712 131.96   0.00  1935.052 339.126162 -24.660822
    1 2457297.06944444 -11.191  54.72588604  14.18568438  0.27109E+04  0.2476035330953E-02  0.1006519792862E+01  47.830 131.84   0.00  1934.576 341.605865 -25.171760
    1 2457297.07638889 -11.187  54.85448933  14.20144456  0.27179E+04  0.2476599229007E-02  0.1006515091613E+01  47.949 131.72   0.00  1934.135 344.110018 -25.617719
    1 2457297.08333333 -11.183  54.98338600  14.21742122  0.27239E+04  0.2477117527122E-02  0.1006510386320E+01  48.068 131.60   0.00  1933.731 346.635756 -25.997246
    1 2457297.09027778 -11.180  55.11252919  14.23361778  0.27289E+04  0.2477589761667E-02  0.1006505676992E+01  48.187 131.49   0.00  1933.362 349.179918 -26.309075
    1 2457297.09722222 -11.176  55.24187179  14.25003723  0.27330E+04  0.2478015554044E-02  0.1006500963638E+01  48.306 131.37   0.00  1933.030 351.739083 -26.552143
    1 2457297.10416667 -11.172  55.37136665  14.26668224  0.27361E+04  0.2478394617304E-02  0.1006496246264E+01  48.426 131.25   0.00  1932.734 354.309612 -26.725602
    1 2457297.11111111 -11.168  55.50096585  14.28355485  0.27382E+04  0.2478726721188E-02  0.1006491524881E+01  48.546 131.13   0.00  1932.475 356.887693 -26.828837
    1 2457297.11805556 -11.164  55.63062155  14.30065677  0.27394E+04  0.2479011727756E-02  0.1006486799497E+01  48.666 131.01   0.00  1932.253 359.469400 -26.861473
    1 2457297.12500000 -11.161  55.76028598  14.31798927  0.27395E+04  0.2479249585756E-02  0.1006482070118E+01  48.786 130.89   0.00  1932.068   2.050745 -26.823383
    1 2457297.13194444 -11.157  55.88991119  14.33555316  0.27387E+04  0.2479440318903E-02  0.1006477336755E+01  48.906 130.77   0.00  1931.919   4.627742 -26.714685
    1 2457297.13888889 -11.153  56.01944916  14.35334875  0.27369E+04  0.2479584025777E-02  0.1006472599416E+01  49.025 130.65   0.00  1931.807   7.196466 -26.535748
    1 2457297.14583333 -11.150  56.14885227  14.37137597  0.27341E+04  0.2479680897432E-02  0.1006467858108E+01  49.145 130.53   0.00  1931.732   9.753108 -26.287180
    1 2457297.15277778 -11.146  56.27807282  14.38963423  0.27303E+04  0.2479731193381E-02  0.1006463112841E+01  49.265 130.41   0.00  1931.692  12.294030 -25.969818
    1 2457297.15972222 -11.143  56.40706364  14.40812253  0.27256E+04  0.2479735264943E-02  0.1006458363623E+01  49.384 130.29   0.00  1931.689  14.815813 -25.584719
    1 2457297.16666667 -11.139  56.53577766  14.42683939  0.27199E+04  0.2479693530883E-02  0.1006453610461E+01  49.503 130.17   0.00  1931.722  17.315301 -25.133138
    1 2457297.17361111 -11.136  56.66416860  14.44578295  0.27132E+04  0.2479606506601E-02  0.1006448853365E+01  49.622 130.05   0.00  1931.790  19.789631 -24.616516
    1 2457297.18055556 -11.132  56.79219002  14.46495070  0.27056E+04  0.2479474755478E-02  0.1006444092343E+01  49.741 129.93   0.00  1931.892  22.236261 -24.036456
    1 2457297.18750000 -11.129  56.91979669  14.48433990  0.26971E+04  0.2479298947840E-02  0.1006439327403E+01  49.859 129.81   0.00  1932.029  24.652989 -23.394702
    1 2457297.19444444 -11.126  57.04694374  14.50394727  0.26876E+04  0.2479079818024E-02  0.1006434558554E+01  49.976 129.69   0.00  1932.200  27.037960 -22.693117
    1 2457297.20138889 -11.123  57.17358687  14.52376901  0.26773E+04  0.2478818169150E-02  0.1006429785804E+01  50.094 129.58   0.00  1932.404  29.389671 -21.933664
